2020-08-11 12:38:26,446 - Recorded info
2020-08-11 12:40:03,320 - Recorded info
2020-08-11 12:41:25,850 - Collecting Spec Anomolies for 1st STD:48 , 2nd STD:17
2020-08-11 12:41:51,113 - Collecting Spec Anomolies for 1st STD:103 , 2nd STD:60
2020-08-11 12:42:16,473 - Collecting Spec Anomolies for 1st STD:100 , 2nd STD:31
2020-08-11 12:42:41,734 - Collecting Spec Anomolies for 1st STD:87 , 2nd STD:48
2020-08-11 12:43:06,848 - Collecting Spec Anomolies for 1st STD:86 , 2nd STD:44
2020-08-11 12:43:31,940 - Collecting Spec Anomolies for 1st STD:32 , 2nd STD:0
2020-08-11 12:43:57,175 - Collecting Spec Anomolies for 1st STD:48 , 2nd STD:17
2020-08-11 12:44:22,272 - Collecting Spec Anomolies for 1st STD:48 , 2nd STD:0
2020-08-11 12:44:47,357 - Collecting Spec Anomolies for 1st STD:86 , 2nd STD:41
2020-08-11 12:45:12,606 - Collecting Spec Anomolies for 1st STD:19 , 2nd STD:0
2020-08-11 12:45:37,875 - Collecting Spec Anomolies for 1st STD:10 , 2nd STD:0
2020-08-11 12:46:03,297 - Collecting Spec Anomolies for 1st STD:63 , 2nd STD:0
2020-08-11 12:46:28,769 - Collecting Spec Anomolies for 1st STD:105 , 2nd STD:92
2020-08-11 12:46:54,091 - Collecting Spec Anomolies for 1st STD:99 , 2nd STD:49
2020-08-11 12:47:19,227 - Collecting Spec Anomolies for 1st STD:48 , 2nd STD:18
2020-08-11 12:47:44,466 - Collecting Spec Anomolies for 1st STD:22 , 2nd STD:0
2020-08-11 12:48:09,621 - Collecting Spec Anomolies for 1st STD:44 , 2nd STD:0
2020-08-11 12:48:34,791 - Collecting Spec Anomolies for 1st STD:88 , 2nd STD:17
2020-08-11 12:49:00,150 - Collecting Spec Anomolies for 1st STD:85 , 2nd STD:17
2020-08-11 12:49:25,475 - Collecting Spec Anomolies for 1st STD:48 , 2nd STD:16
2020-08-11 12:49:25,476 - Achieving the Anamolies Threshold...Calculating the Mean and Std...
2020-08-11 12:49:25,480 - Spec for 1st MX at 1STD 93.149285 and 2nd STD 122.848569
2020-08-11 12:49:25,481 - Spec for 2st MX at 1STD 48.026456 and 2nd STD 72.702913
2020-08-11 12:49:25,482 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1227 , 48 
2020-08-11 12:52:04,048 - Recorded info
2020-08-11 12:53:26,701 - Collecting Spec Anomolies for 1st STD:48 , 2nd STD:17
2020-08-11 12:53:52,127 - Collecting Spec Anomolies for 1st STD:103 , 2nd STD:56
